site_name,latitude,longitude,state,com_type,commod1,dep_type,prod_size,dev_stat,ore,work_type,hrock_type,arock_type
Prado,-9.93155,-77.03364,Ancash,M,,,,Prospect,,,,
Orcopampa,-15.33104,-72.38292,Arequipa,M,"Gold, Silver",,,Plant,,Underground,,
(Facility) Ilo Copper Refinery,-17.48937,-71.36629,Moquegua,M,Copper,,,Plant,,,,
Santa Barbara Minsur - Polymet,-15.89772,-70.34957,Puno,M,"Silver, Tin, Copper, Lead",,,Plant,,,,
Fortuna,-9.49797,-77.14975,Ancash,M,,,,Past Producer,,Underground,,
Riqueza,-9.93155,-77.03364,Ancash,M,,,,Prospect,,,,
Chapi,-16.76769,-71.34959,Arequipa,M,Copper,,,Past Producer,,,,
Barron,-9.49797,-77.14975,Ancash,M,,,,Occurrence,,,,
Quellaveco,-17.09768,-70.61627,Moquegua,M,Copper,,,Prospect,,Surface,,
Susana,-10.20624,-76.93114,Ancash,M,,,,Prospect,,,,
Ocona,-15.49774,-71.9996,Arequipa,M,,,,Producer,,,,
Rosita,-10.16464,-76.94974,Ancash,M,,,,Prospect,,,,
Chaco,-9.26798,-77.35975,Ancash,M,,,,Past Producer,,Underground,,
Chungar,-11.0479,-76.39973,Pasco,M,"Silver, Lead, Copper, Zinc",,,Plant,,,,
Electro Nacional,-9.99794,-77.99976,Ancash,M,Iron,,,Producer,,,,
Tarugo,-9.76466,-77.54976,Ancash,M,,,,Producer,,Underground,,
Antamina,-9.53127,-77.08305,Ancash,M,"Copper, Zinc",,,Prospect,,Surface,,
Otito,-9.89795,-77.08975,Ancash,M,,,,Occurrence,,,,
Cosmos,-9.98125,-77.22475,Ancash,M,,,,Producer,,Underground,,
Mercedes,-10.00625,-77.22475,Ancash,M,,,,Past Producer,,Underground,,
Las Clavelinas,-15.99771,-70.99957,Arequipa,M,,,,Producer,,,,
Palca,-15.39773,-69.29954,Puno,M,,,,Producer,,,,
Lead Smelting Division,-11.59788,-75.89971,Junin,M,,,,Producer,,,,
Casualidad,-9.49797,-77.14975,Ancash,M,,,,Producer,,Underground,,
Bayocsa 1 Y 12,-13.7678,-73.39965,Apurimac,M,,,,Unknown,,,,
Vinchos,-10.49793,-75.2497,Pasco,M,,,,Producer,,,,
Hercules,-9.76466,-77.53306,Ancash,M,,,,Producer,,,,
Austria Duvaz,-11.59788,-75.89971,Junin,M,"Zinc, Silver, Lead",,,Plant,,,,
Unidad Huancapeti-Tarugo,-9.71466,-77.46645,Ancash,M,,,,Producer,,,,
Colqui,-11.54868,-76.46303,Lima,M,,,,Producer,,Underground,,
Carhuacayan,-11.59788,-76.59973,Junin,M,,,,Producer,,,,
Eureka,-9.88795,-76.99973,Ancash,M,,,,Past Producer,,Underground,,
Chabucas,-12.09786,-77.04974,,M,Copper,,,Prospect,,,,
Santa Elena,-9.89795,-77.08975,Ancash,M,,,,Past Producer,,,,
Atlante,-9.26798,-77.35975,Ancash,M,,,,Producer,,Underground,,
